Departure station (id);Departure station;Arrival station (id);Arrival station;Length
366;ERNAGE;438;GEMBLOUX;2.8839986181002
866;M-OUDE GOD;590;HOVE;2.0915590842501603
1270;ZICHEM;326;DIEST;5.067859872733931
406;FLOREFFE;400;FLAWINNE;3.70280637475485
215;BRUX-CENTRAL;216;BRUX-CONGRES;0.8325454103390819
1184;VICHTE;66;ANZEGEM;7.34691525359177
404;FLEURUS;736;LIGNY;3.51671691262813
77;ATH;782;MAFFLE;2.34229208786649
1113;SY;510;HAMOIR;4.02315069741812
984;QUIEVRAIN;1141;THULIN;4.5156207484558
319;DENDERMONDE;1730;SINT-GILLIS;1.17647508251223
1255;YVOIR;329;DINANT;7.5141961574247
820;MENEN;1229;WERVIK;5.17075143025056
380;ETTERBEEK;1219;WATERMAEL;1.46872272408301
720;LEVAL;158;BINCHE;3.81710479279515
724;LICHTERVELDE;647;KORTEMARK;5.96108641602288
977;PUURS;192;BORNEM;3.89283715218467
2011;OUGREE;27;ANGLEUR;4.99000023867114
1185;VIELSALM;477;GOUVY;11.4247572670028
583;HOURAING;952;PAPIGNIES;1.86747046876375
744;LOBBES;1139;THUIN;2.0753576163042498
231;BUGGENHOUT;781;MALDEREN;2.1622608464621
941;OUD-HEVERLEE;567;HEVERLEE;4.27256433370117
432;GALMAARDEN;1150;TOLLEMBEEK;2.1968143403725797
897;NATOYE;405;FLOREE;1.61504173907981
195;BOUSSU;501;HAININ;2.25671910194005
501;HAININ;1141;THULIN;1.5672014099493998
1034;ST-GHISLAIN;195;BOUSSU;1.8632705988232001
725;LIEDEKERKE;378;ESSENE-LOMB;1.40213173817226
754;LONZEE;438;GEMBLOUX;2.9981827733687703
1274;ZOTTEGEM;568;HILLEGEM;4.13929815688898
868;MOUSCRON;649;KORTRIJK;12.730555237484198
335;DRONGEN;682;LANDEGEM;5.679393221149811
192;BORNEM;1128;TEMSE;3.6080933722683697
1254;YVES-GOMEZEE;1207;WALCOURT;5.329023676972319
261;CHASTRE;167;BLANMONT;1.6344184116429201
392;FARCIENNES;16;AISEAU;2.7331826844654503
811;NEKKERSPOEL;810;MECHELEN;1.50627171557316
363;EPPEGEM;1192;VILVOORDE;4.19576877038589
38;ANTW-DAM;764;LUCHTBAL;1.33030548437577
1130;TERHAGEN;563;HERZELE;1.37698764778239
421;FRAIPONT;901;NESSONVAUX;1.5871855508040902
327;DIKSMUIDE;647;KORTEMARK;12.6886138468579
1125;TAMINES;82;AUVELAIS;2.56947052827892
120;BASSE-WAVRE;1223;WAVRE;1.46070967937092
840;MOL;107;BALEN;4.86503629676836
820;MENEN;1235;WEVELGEM;5.26623802006681
128;BEERSEL;591;HUIZINGEN;3.15820688728573
1152;TORHOUT;724;LICHTERVELDE;4.78074361924811
187;BOOISCHOT;132;BEGIJNENDIJK;2.59345466868338
518;HANSBEKE;136;BELLEM;3.72263966424408
748;LOKEREN;1265;ZELE;6.28603967017478
1141;THULIN;984;QUIEVRAIN;4.5156207484558
