Departure station (id);Departure station;Arrival station (id);Arrival station;Length;geo_point_2d
319;DENDERMONDE;1730;SINT-GILLIS;1.17647508251223;51.023376460032836, 4.109322024489874
1255;YVOIR;329;DINANT;7.5141961574247;50.291635513491265, 4.893222034427802
820;MENEN;1229;WERVIK;5.17075143025056;50.789321644446694, 3.0809366540778313
380;ETTERBEEK;1219;WATERMAEL;1.46872272408301;50.81595918173912, 4.395814076724327
720;LEVAL;158;BINCHE;3.81710479279515;50.418137048012674, 4.192949882721958
724;LICHTERVELDE;647;KORTEMARK;5.96108641602288;51.02748520510587, 3.0856832350848933
977;PUURS;192;BORNEM;3.89283715218467;51.08702907932655, 4.261635025252256
2011;OUGREE;27;ANGLEUR;4.99000023867114;50.608439287893354, 5.569446496251015
1185;VIELSALM;477;GOUVY;11.4247572670028;50.231360735739564, 5.923217362061911
583;HOURAING;952;PAPIGNIES;1.86747046876375;50.695082574049664, 3.830087010908215
744;LOBBES;1139;THUIN;2.0753576163042498;50.34438606606721, 4.274941593651165
231;BUGGENHOUT;781;MALDEREN;2.1622608464621;51.015216452885824, 4.216074997231957
941;OUD-HEVERLEE;567;HEVERLEE;4.27256433370117;50.85096837838094, 4.673027072972086
432;GALMAARDEN;1150;TOLLEMBEEK;2.1968143403725797;50.740071917102924, 3.97903558935048
897;NATOYE;405;FLOREE;1.61504173907981;50.35048409753925, 5.058929645793561
195;BOUSSU;501;HAININ;2.25671910194005;50.431983729948726, 3.781396078187458
501;HAININ;1141;THULIN;1.5672014099493998;50.42572005471247, 3.7563725680913653
1034;ST-GHISLAIN;195;BOUSSU;1.8632705988232001;50.439387339572605, 3.8079937553435563
725;LIEDEKERKE;378;ESSENE-LOMB;1.40213173817226;50.88252875988961, 4.105217838600503
754;LONZEE;438;GEMBLOUX;2.9981827733687703;50.56142494648467, 4.7052513646032965
1274;ZOTTEGEM;568;HILLEGEM;4.13929815688898;50.88213961658701, 3.833801716931259
868;MOUSCRON;649;KORTRIJK;12.730555237484198;50.789395672631, 3.226464366500989
335;DRONGEN;682;LANDEGEM;5.679393221149811;51.055859561792815, 3.615315960757812
192;BORNEM;1128;TEMSE;3.6080933722683697;51.110656793199155, 4.226441973461726
1254;YVES-GOMEZEE;1207;WALCOURT;5.329023676972319;50.245328387236, 4.4600846584788965
261;CHASTRE;167;BLANMONT;1.6344184116429201;50.61354949625303, 4.6434086668178205
392;FARCIENNES;16;AISEAU;2.7331826844654503;50.43305665856462, 4.5680264074009385
811;NEKKERSPOEL;810;MECHELEN;1.50627171557316;51.02327210229693, 4.488016962459996
363;EPPEGEM;1192;VILVOORDE;4.19576877038589;50.94149855072871, 4.444784189307718
38;ANTW-DAM;764;LUCHTBAL;1.33030548437577;51.237533576684434, 4.425305365922539
1130;TERHAGEN;563;HERZELE;1.37698764778239;50.89927010670567, 3.8885308183028124
